CustomerKey,Customer Code,Title,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,House Ownership,Cars Owned,Continent,City,State,CountryRegion,Address Line 1,Address Line 2,Phone,Date First Purchase,Customer Type,Company Name
7474,18473,,"Rogers, Nathaniel",1975-05-27T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,La Jolla,California,United States,2075 Alvina Dr.,,678-555-0114,2004-02-07T00:00:00,Person,
7475,18474,,"Smith, James",1975-07-11T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Long Beach,California,United States,6013 Meier Road,,505-555-0184,2004-04-04T00:00:00,Person,
7799,18798,,"Allen, Andrea",1978-06-13T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,1658 Stonyhill Circle,,306-555-0110,2004-05-03T00:00:00,Person,
7893,18892,,"Howard, Chase",1977-11-16T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Colma,California,United States,4496 Hurlstone Ct.,,133-555-0121,2004-05-18T00:00:00,Person,
8672,19671,,"Davis, Michael",1978-07-02T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Concord,California,United States,2144 San Rafael,,172-555-0156,2003-09-27T00:00:00,Person,
8757,19756,,"Yuan, Nicolas",1977-08-03T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Chula Vista,California,United States,3168 Limewood Pl.,,891-555-0117,2004-02-15T00:00:00,Person,
8760,19759,,"Barnes, Sydney",1976-04-06T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Redwood City,California,United States,8629 English Court,,616-555-0166,2003-11-30T00:00:00,Person,
8779,19778,,"Jones, Isabella",1975-08-16T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,National City,California,United States,623 Chestnut Ave,,387-555-0117,2003-08-24T00:00:00,Person,
9412,20411,,"James, Cole",1977-06-05T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,El Cajon,California,United States,9995 Valley View Road,,117-555-0150,2003-11-15T00:00:00,Person,
9414,20413,,"Powell, Taylor",1976-05-06T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,7165 Brock Lane,,666-555-0172,2003-09-24T00:00:00,Person,
9415,20414,,"Bailey, Amanda",1976-11-23T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Newport Beach,California,United States,4915 Pear Dr.,,241-555-0141,2004-04-13T00:00:00,Person,
9423,20422,,"Brooks, Maria",1980-08-17T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,San Diego,California,United States,8375 Ambush Dr..,,231-555-0159,2004-01-09T00:00:00,Person,
9436,20435,,"Green, Natalie",1975-11-26T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,3470 Augustine Dr.,,314-555-0118,2004-01-17T00:00:00,Person,
9439,20438,,"Scott, Robert",1975-12-22T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,West Covina,California,United States,8313 Canyon Creek Drive,,683-555-0131,2003-10-13T00:00:00,Person,
10283,21282,,"Smith, Julia",1978-03-10T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Fremont,California,United States,157 Birch Bark Road,,420-555-0153,2004-04-11T00:00:00,Person,
10369,21368,,"Collins, Mason",1977-09-26T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Daly City,California,United States,8903 Suzanne Dr.,,882-555-0117,2003-12-31T00:00:00,Person,
10399,21398,,"Diaz, Ethan",1975-03-25T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Spring Valley,California,United States,3397 Farm Bureau Road,,136-555-0124,2004-05-28T00:00:00,Person,
10400,21399,,"Hughes, Ian",1975-11-25T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Woodland Hills,California,United States,3162 Chaucer Drive,,240-555-0189,2004-05-01T00:00:00,Person,
11153,22152,,"King, Marcus",1978-02-18T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Long Beach,California,United States,8564 Hickory Drive,,964-555-0119,2004-06-09T00:00:00,Person,
11163,22162,,"Yuan, Brad",1977-04-11T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burbank,California,United States,9001 Esperanza,,658-555-0190,2003-12-07T00:00:00,Person,
11164,22163,,"Scott, Morgan",1977-07-01T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lakewood,California,United States,6710 Santa Monica Drive,,632-555-0118,2003-08-08T00:00:00,Person,
11185,22184,,"Carter, Jeremy",1975-07-27T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lakewood,California,United States,5985 Bouncing Road,,809-555-0156,2004-04-15T00:00:00,Person,
11186,22185,,"Henderson, Connor",1975-06-02T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Palo Alto,California,United States,1515 Palm Dr,,205-555-0110,2003-09-27T00:00:00,Person,
12081,23080,,"Barnes, Jocelyn",1978-03-09T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,1905 July Loop,,137-555-0153,2003-11-17T00:00:00,Person,
12319,23318,,"Morgan, Patrick",1978-10-03T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,3391 Paso Del Rio Court,,730-555-0119,2004-02-04T00:00:00,Person,
12338,23337,,"Green, Isaiah",1975-11-07T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Woodland Hills,California,United States,8782 Palisade Court,,615-555-0196,2004-03-31T00:00:00,Person,
12339,23338,,"Jenkins, Lucas",1973-12-13T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Imperial Beach,California,United States,2423 Brookview Dr.,,708-555-0164,2004-02-18T00:00:00,Person,
13233,24232,,"Johnson, Ryan",1979-02-17T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,West Covina,California,United States,7251 Millfield Place,,584-555-0116,2004-06-20T00:00:00,Person,
13239,24238,,"Richardson, Sean",1978-09-07T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,9277 Claycord Ave.,,726-555-0144,2004-06-21T00:00:00,Person,
13240,24239,,"Hernandez, Miguel",1978-11-27T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Imperial Beach,California,United States,8370 Birchwood Dr,,145-555-0139,2004-06-04T00:00:00,Person,
13262,24261,,"Jones, Emma",1977-06-15T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Concord,California,United States,5123 Gumwood,,291-555-0163,2004-01-13T00:00:00,Person,
13264,24263,,"Brooks, Brooke",1977-08-15T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,La Jolla,California,United States,1994 South Villa Way,,496-555-0117,2004-01-13T00:00:00,Person,
13290,24289,,"Gonzalez, Robert",1975-12-16T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Grossmont,California,United States,1899 Mayhew Way,,962-555-0138,2003-10-06T00:00:00,Person,
14917,25916,,"Serrano, Naomi",1978-07-13T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burbank,California,United States,8018 Pinnacle Drive,,871-555-0191,2001-11-13T00:00:00,Person,
15547,26546,,"Bennett, Miguel",1978-06-26T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Imperial Beach,California,United States,6208 Hedaro Court,,180-555-0197,2002-11-02T00:00:00,Person,
15558,26557,,"Morgan, Katelyn",1976-07-13T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,8434 Ringing Court,,607-555-0179,2003-11-12T00:00:00,Person,
15577,26576,,"Robinson, Kaitlyn",1975-01-10T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,5288 York Dr.,,935-555-0189,2003-12-02T00:00:00,Person,
15578,26577,,"Edwards, Cindy",1975-02-02T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,8468 Clifford Court,,882-555-0188,2003-12-03T00:00:00,Person,
15579,26578,,"White, Jeremy",1975-10-25T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,9830 May Way,,642-555-0133,2004-04-30T00:00:00,Person,
16468,27467,,"Coleman, Jackson",1978-03-16T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,9919 Macarthur Avenue,,159-555-0145,2003-06-23T00:00:00,Person,
16479,27478,,"Alvarez, Sheila",1977-06-12T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Chula Vista,California,United States,9322 Sinaloa,,229-555-0150,2003-10-11T00:00:00,Person,
17097,28096,,"Stewart, Alexandra",1978-11-19T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,5935 Isabel,,125-555-0117,2001-09-15T00:00:00,Person,
17098,28097,,"Barnes, Jennifer",1978-09-03T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Chula Vista,California,United States,2215 La Corte Bonita,,377-555-0139,2001-09-09T00:00:00,Person,
17105,28104,,"Williams, Hannah",1977-08-21T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,495 Alameda Drive,,254-555-0139,2004-06-01T00:00:00,Person,
17107,28106,,"Williams, Chloe",1977-05-27T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Grossmont,California,United States,1663 Almond Drive,,746-555-0145,2003-10-17T00:00:00,Person,
17126,28125,,"Jackson, Dalton",1975-09-22T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Fremont,California,United States,6598 Hargate Court,,598-555-0113,2004-06-15T00:00:00,Person,
17127,28126,,"Johnson, Anna",1975-01-12T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2633 Dalis Dr.,,420-555-0145,2003-10-11T00:00:00,Person,
17128,28127,,"Price, Fernando",1975-06-18T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Santa Cruz,California,United States,8274 Gladstone Drive,,678-555-0146,2003-10-09T00:00:00,Person,
18057,29056,,"Griffin, Angelica",1979-03-05T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,West Covina,California,United States,121 Keith Court,,807-555-0129,2001-12-11T00:00:00,Person,
18060,29059,,"Perry, Jocelyn",1978-06-20T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Downey,California,United States,5455 Granola Dr,,407-555-0157,2001-12-27T00:00:00,Person,
18071,29070,,"Simmons, Arianna",1978-05-15T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lakewood,California,United States,24 San Vincente Drive,,581-555-0195,2001-12-30T00:00:00,Person,
18111,29110,,"Smith, Sydney",1973-04-11T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Los Angeles,California,United States,719 Sycamore Drive,,641-555-0152,2001-12-18T00:00:00,Person,
54,11053,,"Price, Ana",1980-08-20T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,San Diego,California,United States,1660 Stonyhill Circle,,859-555-0113,2003-07-21T00:00:00,Person,
66,11065,,"Henderson, Jessica",1973-10-09T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,La Jolla,California,United States,9343 Ironwood Way,,278-555-0186,2003-08-14T00:00:00,Person,
940,11939,,"Washington, Kevin",1977-06-22T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Imperial Beach,California,United States,9105 Jacobsen Street,,970-555-0114,2002-05-13T00:00:00,Person,
2032,13031,,"Shan, Hunter",1977-02-16T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Lemon Grove,California,United States,6671 Santa Barbara,,653-555-0115,2003-09-26T00:00:00,Person,
2034,13033,,"Gonzalez, Xavier",1976-11-20T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Oakland,California,United States,8475 Riverwood Circle,,544-555-0195,2004-07-20T00:00:00,Person,
2993,13992,,"Xie, Gregory",1978-06-06T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Burlingame,California,United States,5055 Quiz St.,,560-555-0183,2002-07-07T00:00:00,Person,
3018,14017,,"Rodriguez, Chloe",1980-11-22T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,San Diego,California,United States,7806 Reliez Valley Ct.,,325-555-0134,2002-08-01T00:00:00,Person,
3025,14024,,"Moore, Hannah",1975-12-23T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Oakland,California,United States,923 Hill Drive,,141-555-0124,2002-08-26T00:00:00,Person,
3271,14270,,"Ross, James",1975-01-25T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,La Jolla,California,United States,3099 Morello Court,,154-555-0163,2002-12-23T00:00:00,Person,
3274,14273,,"Parker, Angel",1973-05-05T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,San Gabriel,California,United States,6045 Holiday Hills Dr.,,815-555-0120,2004-03-09T00:00:00,Person,
3853,14852,,"Gonzalez, Adam",1978-11-13T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Lemon Grove,California,United States,8694 Orangewood Ave.,,136-555-0124,2002-04-06T00:00:00,Person,
4006,15005,,"Cooper, Adrian",1978-09-20T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Long Beach,California,United States,2055 Seawind Dr.,,478-555-0132,2002-06-18T00:00:00,Person,
4434,15433,,"Sharma, Adam",1978-08-18T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Concord,California,United States,5093 Greer Ave,,385-555-0155,2002-12-07T00:00:00,Person,
5338,16337,,"White, Jose",1977-07-06T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,El Cajon,California,United States,8371 Shenandoah Drive,,123-555-0138,2004-05-29T00:00:00,Person,
5921,16920,,"Stewart, Eduardo",1979-01-17T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Torrance,California,United States,7036 Las Quebrados Ln.,,276-555-0114,2003-09-25T00:00:00,Person,
5925,16924,,"Price, Julia",1978-11-05T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Concord,California,United States,5888 Salem St.,,649-555-0115,2003-10-23T00:00:00,Person,
5926,16925,,"Patterson, Spencer",1978-07-21T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Daly City,California,United States,1069 Ahwanee Lane,,394-555-0170,2003-10-11T00:00:00,Person,
6490,17489,,"Evans, Jack",1977-11-21T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Glendale,California,United States,9428 Mehaffey Way,,678-555-0140,2003-11-30T00:00:00,Person,
6491,17490,,"Moore, Grace",1977-09-08T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Imperial Beach,California,United States,4380 Chestnut,,600-555-0112,2004-05-08T00:00:00,Person,
7362,18361,,"Simmons, Marcus",1979-12-26T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,West Covina,California,United States,7648 S. Bascom Ave.,,708-555-0175,2004-04-09T00:00:00,Person,
7367,18366,,"Richardson, Alexandria",1978-05-25T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,La Jolla,California,United States,2987 Wiget Lane,,530-555-0143,2004-04-17T00:00:00,Person,
7456,18455,,"Wu, Alejandro",1977-09-25T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Coronado,California,United States,3799 Hilton Way,,284-555-0143,2004-05-19T00:00:00,Person,
7457,18456,,"Bailey, Timothy",1977-09-05T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Grossmont,California,United States,896 Shannon Lane,,871-555-0120,2004-05-07T00:00:00,Person,
7478,18477,,"Hughes, Angelica",1973-08-10T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Lincoln Acres,California,United States,6622 First Ave.,,113-555-0156,2003-08-27T00:00:00,Person,
7894,18893,,"White, Devin",1977-06-15T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Imperial Beach,California,United States,9549 Roxbury Drive,,808-555-0131,2003-09-17T00:00:00,Person,
7921,18920,,"Young, Jonathan",1973-05-19T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Redwood City,California,United States,2372 Cardinet Dr.,,192-555-0178,2004-07-21T00:00:00,Person,
8671,19670,,"Gutierrez, Erik",1978-03-16T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Burbank,California,United States,9919 Macarthur Avenue,,725-555-0195,2003-09-14T00:00:00,Person,
8759,19758,,"Wright, Alex",1976-12-25T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Woodland Hills,California,United States,2923 Stanford Street,,150-555-0169,2003-09-07T00:00:00,Person,
8761,19760,,"Russell, Sydney",1976-05-02T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Grossmont,California,United States,3076 Mount Dr,,841-555-0132,2003-11-27T00:00:00,Person,
8778,19777,,"Thomas, Jonathan",1975-05-19T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Los Angeles,California,United States,5549 Bluejay Dr.,,154-555-0158,2004-01-29T00:00:00,Person,
9435,20434,,"Sharma, Nathan",1975-10-13T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Imperial Beach,California,United States,15 Aspen Drive,,416-555-0128,2004-01-07T00:00:00,Person,
9437,20436,,"Barnes, Anna",1975-04-26T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Palo Alto,California,United States,4444 Pepper Way,,151-555-0118,2004-01-31T00:00:00,Person,
9438,20437,,"Howard, Gabriella",1975-10-12T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,West Covina,California,United States,5197 Camino Ricardo,,747-555-0199,2004-01-13T00:00:00,Person,
9440,20439,,"Rogers, Chloe",1973-04-04T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Imperial Beach,California,United States,3158 B Avenue I,,578-555-0118,2003-08-28T00:00:00,Person,
9441,20440,,"Hughes, Alexandra",1973-05-26T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Redwood City,California,United States,4404 Mildred Avenue,,321-555-0162,2003-11-27T00:00:00,Person,
10282,21281,,"Hill, Andrea",1978-02-27T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Chula Vista,California,United States,2651 St. Francis Dr.,,979-555-0144,2004-04-30T00:00:00,Person,
11062,22061,,"Goel, Jenny",1978-09-20T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Cerritos,California,United States,7156 Rose Dr.,,753-555-0135,2004-06-28T00:00:00,Person,
11063,22062,,"Flores, Cameron",1978-04-28T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Downey,California,United States,7892 M Ln.,,979-555-0198,2004-06-22T00:00:00,Person,
11166,22165,,"Perez, Aaron",1976-11-01T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Glendale,California,United States,749 Ida Dr.,,143-555-0143,2003-11-19T00:00:00,Person,
11187,22186,,"Foster, Jonathan",1975-10-04T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,San Carlos,California,United States,1135 Glenellen Court,,222-555-0131,2004-06-25T00:00:00,Person,
12092,23091,,"Peterson, Richard",1977-02-06T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,La Jolla,California,United States,1538 Golden Meadow,,822-555-0135,2004-05-27T00:00:00,Person,
12111,23110,,"Gonzalez, Mackenzie",1975-09-26T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Glendale,California,United States,2878 San Miguel Circle,,896-555-0123,2003-11-27T00:00:00,Person,
12112,23111,,"Wright, Sara",1975-01-17T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Lincoln Acres,California,United States,6732 Mill Road,,585-555-0175,2003-11-29T00:00:00,Person,
13263,24262,,"Thomas, Daniel",1977-03-16T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,La Jolla,California,United States,5776 Newton Way,,477-555-0199,2003-12-26T00:00:00,Person,
13296,24295,,"Barnes, Natalie",1973-03-26T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Palo Alto,California,United States,7650 Northridge Drive,,623-555-0149,2004-06-11T00:00:00,Person,
14009,25008,,"Perry, Haley",1978-05-20T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Daly City,California,United States,59 Lakewood Court,,948-555-0113,2004-06-21T00:00:00,Person,
